reviews,Performance and Stability,Payment,Content,Satisfaction
"Kasi bintang 2 dl. Alasannya... Kenapa playback nya di tiadakan. Padahal itu sangat bagus, klo ga sempat live bisa nonton tundanya. Sayang sekali.. Tolong untuk playback nya diaktifkan kembali..",neg,,,
"Aneh sekali muncul tulisan ""ada masalah pada jaringan"" padahal video muter terus jadi gak kelihatan gara2 ketutup notifikasi terus suruh nonton apa??? Kita ini bayar lho gak gratis sinyal jg lancar",neg,,,
"Masih suka error untuk pembelian paket diamond, malah sampe ke beli 2x jadi rugi, karena udah beli ga langsung bisa di pake, kecewa si kirain vidio udah ngatasin masalah seperti ini ternyata belum, semoga kedepannya bisa lebih baik, beli paket diamond dll langsung aktif ga bertele tele, terimakasih",neg,neg,,neg
"Kesel banget, nonton baru beberapa menit aja udh buffering terus tiap beberapa detik sekali, dan scenenya loncat loncat kesell bangett aing nontonnya 😑 kalo kayak gini terus cukup sekali dah gamau langganan lagi! Cacat banget anj kesel demi",neg,,neg,neg
"Min, tanggal 27/9/2022 saya beli paket langganan 1 tahun 220ribu. Eh 28/9/2022 ada potongan lagi di gopay sebesar 32ribu untuk langganan 1 bulan (kayaknya automatis). Terus saya cek di langganan saya, yg langganan 1 tahun kehapus oleh yg 1 bulan. Pulsa saya kepotong 2x (220rb dan 32rb). Gimana ini min? Bisa dibantu kah? Saya baikin bintangnya kalau uang/langganan saya diperbaiki. Kalau tidak, next akan uninstall app ini. Makasih",,neg,,neg
"Sudah berlangganan tapi masih banyak iklan, buat apa berlangganan kalau masih ada iklannya, terus nonton film cuma cuplikannya saja tidak full movie. Mending ke sebelah Tampa iklan.",,,neg,neg
"Gua heran sama Vidio ini, setelah di update bukannya malah pintar, ini malah guoblox. Sebelum di update pencarian episode berurutan dari angka 1 sampe 100, setelah di update malah acak acakan, malah yang bukan dari kata pencarian juga pake dimunculin lagi, hadeeeuhh.. Asli gue nyesel update ni aplikasi.",neg,,neg,neg
"Banyak tayangan premium yang tidak ditayangkan. Saya beli premium F1, dan tayangannya tidak ada. Malah diganti balapan GT. nonton UEL, Udah 5 menit kick off baru muncul tayangannya. Hadeuuhh",,,neg,neg
"Jangan buat saya makin kecewa , saya sudah 2 bulan bayarin terus liga inggris tp ga bs di pakai sama sekali .. dan lebih buruknya , pembayaran bulan ke dua di gopay tidak ada notifikasi dahulu sblum nya , saldo tiba2 berkurang untuk bayarin aplikasi sampah ini .. tolong jangan buat saya makin kecewa lagi !!!!",,neg,,neg
"Merasa ketipu saya Saya sudah melakukan pembayaran untuk berlangganan paket premium yang platinum+f1. Pembayaran berhasil ada bukti capture dari history aplikasi dana dan email pembayaran berhasil dari google. Kok saya tidak bisa menikmati saluran premium tersebut? Malah di aplikasinya saya belum berlangganan apapun, saya coba klik berlangganan lagi tapi status saya sudah berlangganan. Ini udah 2x lo begini. Gimana nih vidio???",,neg,,neg
"Rencana mau langgganan buat nonton timnas,pembayaran sudah berhasil,sudah dapat kofirmasi pembayaran sudah berhasil dari email maupun sms,di cek di google play sudah aktif tapi ketika dibuka aplikasinya gak aktif paketnya",,neg,,
"Kalo pas dibuat streaming sepak bola layarnya mengecil mulu..udh dibuat layar full mengecil lagi,,mengecil lagi..dan terus-menerus begitu..dan sangat mengganggu..",neg,,,
Assalamualaikum saya mau kasih saran ajah ya. Aplikasi video ini sangat lah bagus tetapi ada sedikit saja masalah saat memutar video nya. knp tiba-tiba saja TDK bisa di Butar kembali dan berhenti saat nonton film. yah it sajah dan Tolong di perbaiki lagi ya😊 .,neg,,,pos
"Kwalitas siaran langsung nya masih kurang, terutama liga inggris, karena di platform penyedia tahun lalu gambarnya lebih bagus dan ada pilihan 4k. Terus seharusnya pemberian materi promosi tidak usah di berikan lagi kepada pelanggan yang sudah berlangganan diamond satu tahun,karena sangat mengganggu frekuensi nya cukup sering",neg,,neg,
"Pengalaman pertama beli paket premiernya saldo sudah terpotong tetapi paket tidak masuk.. setelah di complain baru bisa, tetapi selang 4 hari paket saya hilang lagi dan tidak bisa menggunakan fasilitas paket sebulan saya.. tapi respon saat complain cepat tanggap.. via DM twiter yah.. cuma sampai saat saya nulis ini paket saya belum kembali seperti semula...😩😩😩😩",,neg,,
"Overall bagus tapi siaran masih kurang lengkap dan juga terlalu ngandelin premium padahal jga udh ada iklan apa uang iklannya gk cukup?, nonton sepak bola dalam negri aja suruh bayar, kalo orang kaya gk papa mereka banyak duit tapi klo org yg gk punya duit nonton tv cuma di hp mau nonton sepak bola tapi malah disuruh bayar hadehh.",,neg,neg,pos
"Sudah berlangganan dri platinum+diamond. Msih ajja di blokir nonton live football. Mlah yg berlangganan kena kick Kecewa... Sudah di lengkapi semua data"" yg di butuhkan. Aplikasi ga bagus.",neg,neg,,neg
"Perlu di tingkatkan lagi jaringannya, download nya loading lama, nonton jg loading lama padahal udah langganan, masih mending netflix Sinyal stabil, nonton tetep ga bisa",neg,,,
"Udah langganan paket Platinum, tapi pas mau nonton EPL harus Upgrade ke paket Diamond.. Yah gapapa lah, tapi pas bulan ke dua malah dua2nya kena potongan langganan, yg platinum bayar yg diamond bayar, padahal paket diamond udah include semua channel yg ada di paket platinum, itu pun bahasanya upgrade waktu ke paket Diamond, ini malah dua2nya kena bayar... parahhh...",,neg,,neg
"Sudah cukup bagus..tolong tambahin lagi film2 terbarunya..biar makin seru..film dr berbagai negara,series dr berbagai negara yg seru2..biar makin komplit dan banyak pilihan untuk nonton..",,,neg,pos
"Masukan untuk Vidio, ketika menonton film di beri alternatif kecepatan pemutaran soalnya saya agak sedikit malas menonton film durasi yg lama, Gak ada follow up nya..!!",neg,,,
"Tiap nonton keluar sendiri, udah gitu mau masuk lagi gak bisa, oops failed oops failed mulu tulisannya, berbayar apa enggak sama aja, rugi dong apalagi berbayar tapi gak optimal banget, klo lagi nonton live pun nge leg terus2an, gak tau klo chanel lokal soalnya gak prnh nnton yg lokal, nontonnya chanel olahraga aja, sering bgt nge freeze gambarnya, gak banget vidio skrg, tdnya mau berlangganan terus jd males, sayang kuota soalnya udh loading nonton enggak kesel iya",neg,,,neg
Bagus sih aplikasi ini bisa streaming EPL sama nonton beberapa film hanya perlu diperbaiki saat nonton malah aplikasi livescore duluan yg ngasih pemberitahuan gol padahal di pertandingan masih belum gol intinya tolong disesuaikan waktunya supaya nggak telat,neg,,pos,pos
"Vidio ngga bgt skrg apk nya jelek bgt, langganan premium 1bulan cuma 32k sekian.. pulsa ada 35k, tapi di tolak Mulu dengan alasan saldo tidak mencukupi, sampe ngisi pulsa berkali2 tetep nggabisa, males bgt jadinya buang2 duit tapi nggada hasil",,neg,,neg
"awal episode 1 dan 2 aman aman aja, pas episode ke 3 dan seterusnya, video tidak bisa di putar, dan ada tulisan terjadi gangguan, tidak hanya di satu series saja, series lain pun juga sama, padahal sudah berlangganan premium",neg,,,
"Saya sudah langganan, tapi sekarang kok putar video malah stak di loading logo video alias gk bisa nonton,,, kenapa ya? Mohon di perbaiki sistemnya Saya kirim komplain pun gk bisa bisa, stak di loading juga",neg,,,
"Iklan kurangin, tambahkan fitur skip iklan. Trus User Interface benerin, masa ngulang dari awal pas di close video.",neg,,neg,
Aplikasi apaan ni.di awal buka aja lancar pas mau buka ke 2x nya eh malah ngk ke sambung ke aplikasi nya padahal di rumh jaringan wifi nya bagus.aplikasi nya tolong di perbaiki.makasih min.aku kasih bintang 1 aja ya.,neg,,,neg
Min tolong ini saya udah bayar buat platinum 1 bulan tanggal 8 oktober. Dan sekarang tgl 14 Oktober saldo dana saya terpotong otomatis buat bayar platinum 1 bulan juga. Berarti saya bayar 2x untuk langganan platinum 1 bulan ini.,,neg,,
"Aku dapat paket langganan dr telkomsel, tp kok ngga bs dipake ya? Hrs daftar premium lagi, dan kulihat daftar tontonan sebagian sudah ada di platfrom lain mangkannya jarang yang melirik ke vidio. Tolong dipertimbangkan.",,neg,,
"bagus, tampilannya bagus kayak netflix, subtitlenya jelas, baku, mudah dipahami tapi ga “sok asik” kalo download ga terlalu nguras memori banyak. SAYANG GABISA DI SCREENSHOT",pos,,pos,pos
"Masalah top up/pembayaran super Ribet. Udah beli paket premier league yg 1 bulan, malah gak bisa streaming. Mending Mola TV super murah pembayaran mudah. Sayangnya premier league udah gak sama Mola TV lagi.",,neg,,
Kenapa setelah update terbaru malah ketika nonton video nya gk bisa di pengaturain ke reaolusi yg kita mau kenapa malah bisanya di auto aja......jd buyar jelek kualitas video nya nya tolong dong kenapa ky gitu....sy termasuk pelanggan aplikasi ini loh...jgn bikin kecewa dong promosi udh dimana2 tp kenapa makin kesini aplikasi nya jelek,neg,,,neg
"Aplikasi gk jelas.,, Sering ngelike,,, kebanyakan iklan,,, boros kuota,,, Klu ngeReffres , pasti ngulang dari awal terusss..... 🤦🤦🤦. Rugi banget downloadnya. 👎",neg,,neg,neg
Sangat mengecewakan udah disuruh bayar nonton liga inggris muter terus saat pertandingan pdhl sinyal bagus....tolong di perbaiki dulu sistemnya biar gk muter terus dan gak terjadi masalah saat di tengah2 pertandingan,neg,neg,,neg
"Saya sebagai konsumen yang selalu langganan vidio mulai kecewa karena iklan sudah masuk ke dalam aplikasi. Padahal kami berlangganan bayar, bukan gratis. Yg hari hari nya pengguna tontonan vidio di Tv. Setiap mau menonton cuplikan bola selalu iklan. Sudah sama aja sama aplikasi gratisan.. Kalau mau mencari cuan jgn mengganggu kenyamanan konsumen.. Tolong di tanggapi dan evaluasi, jika tidak saya sarankan ke pengguna lain utk stop langganan dan menilai bintang jelek di playstore. Thanks!!",,,neg,neg
kebanyakan video premium y... tidak ad yg dapat d tonton meskipun paket data banyak... kenapa harus mempersulit org nonton... pake data kan cukup... jika aplikasi in mw banyak pengguna tolong iklan y jgan trllu banyak,,neg,neg,
Perlu adanya fitur tambahan untuk mengatur speed video agar bisa dipercepat dan diperlambat tanpa adanya bagian yg diskip,neg,,,
"Gak masuk akal, sudah berhenti langganan malah tetap di sedot saldo saya. Udah malas banget langganan di video karna aplikasi nya jelek sering close sendri dan error'. Sudah minta pengembalian dana ke google semoga di respon. Dan untuk vidio maaf saya tidak akan langganan atau download lagi. Dan semoga timnas main gak di siarin di Indosiar lagi",neg,neg,,neg
"Sistem pembayaran kalian mengesalkan, sudah dua kali saya mencoba berlangganan saldo sudah kepotong tapi paket tak kunjung aktif. EPL membuat saya sabar dengan aplikasi ini",,neg,,
"Sudah bayar langganan 54rb sebulan, mau nonton dating queen seri 3 masak suruh bayar lg.. Mahal amat... Aku harus bayar yg harga 500 rban gitu buat bayar film series??? Mending langganan aplikasi sebelah lebih jelas dan gak ribet",,neg,,
"Kecewa sih, sistem pembayarannya, Tidak ada lagi via Virtual account Bank, harus transfer terlebih dahulu ke salah satu merchant (Pihak ketiga). Terlalu riskan jika harus entri nomor debit/kredit card.",,neg,,neg
Apk cacat setiap mau ada iklan pasti langsung eror/stuck gabisa lanjut putar video atau pas di iklan nya gabisa di skip ujungnya cuman muter muter doang padahal sinyal bagus🤷,neg,,neg,neg
"YTH. Pihak Vidio, saya sudah melaporkan keluhan melalui pusat bantuan tetapi tidak ada respon. Saya sudah melakukan pembayaran di aplikasi, saldo terpotong, sms masuk sukses membeli tapi paket tidak terdaftar.",,neg,,
"Banyak sekali iklannya sekarang, setiap masuk mau nonton harus lewati iklan dulu. Nanti sdh nonton masih ada lagi iklan masuk. Jelek sekarang aplikasi ini",,,neg,neg
"Terimakasih sudah menyediakan video yang keren2, semoga tayangan Drakor yang terbarunya ditanyangin terus ya, dan mohon maaf, jaringan buat WiFi nya dibagusin lagi, biar ga muter terus..tapi aplikasi vidio ini bagus sekali kerennn",neg,,pos,pos
"Awal nya pulsa saya 35 rb, saya mau beli paket premier yg 29 rb ditambah pajak jadi total 32 rb an, tetap tidak bisa. Akhirnya saya beli lagi pulsa 15, total pulsa saya jadi 50 rb, saya coba beli lagi akhir nya bisa . Tapi yg jadi masalahnya, paket premier sudah berhasil dibeli dan pulsa saya sudah terpotong, email Pembelian berhasil juga sudah masuk. Tapi kenapa di aplikasi video nya saya belum berlangganan???? Saya sangat kecewa!!!!",,neg,,neg
Mantap aplikasinya tapi kok semua Vidio ngga gratis yang lain jga ngga muncul kalau di cari diharapkan lebih gratis dan lebih ditingkatkan lagi semuanya udah bagus tapi ad tapinya yang 2 tadi tolong diperbaiki yah,,neg,neg,pos
"Tolong kualitas Video kasih yang 2K donk jangan FHD 1080P soalnya kan berbayar... Soalnya di situs sebelah ada gratisan dan kualitas FHD 1080P. aku tidak muluk2 ngejar kualitas 4K seperti NETFLIK, cukup 2K saja nanti aku tambah bintangnya. terimakasih",neg,,,
"Tadinya mau kasih bintang 4 setelah berlangganan 1 bulan, tapi setelah beli paket berlangganan berikutnya malah gak auto aktif di aplikasi ini. Sangat merugikan dan mengecewakan",,neg,,neg
Aku agak kecewa sama aplikasi ini karena aku pernah beli langganan premium tapi aku pakek nggak bisa jadi ya agak mubazir aja sih uang nya ya maaf sekali lagi nggak ada niatan untuk menjatuhkan pihak siapapun 🙏🙏,,neg,,neg
"Aplikasi RUWET, sistem berlangganan & penjelasan paketnya RUWET. pernah langganan MOLA TV 1 tahun sangat nyaman, 1akun bebas mau di pakai utk nonton di tv/destop/hp bebas. Setelah hak siar epl/ucl habis, sy mau lihat apa msi hidup ini aplikasi.",,neg,,neg
"Tolong dong diperbaiki lg ,kemaren sebelum di upgrate bagus aplikasinya setelah di upgrate malah lelet bget,kdg suka keluar sendiri. Pdhal udah lma pakek aplikasi ini.",neg,,,neg
"Kecewa dengan aplikasi ini, padahal tidak pernah mengaktifkan perpanjangan paket otomatis tapi begitu saya melakukan pengisian pulsa langsung otomatis pulsa saya tersedot dengan sendirinya. Bener bener kecewa",,neg,,neg
"Pembayaran berlangganan paket telah dilakukan via ovo, dan saldo sudah terpotong, tapi status akun di aplikasi masih belum berubah, dan tidak bisa menikmati akses ke paket yg di daftarkan .",,neg,,
"Tolong perbaiki lg, lg asik2 nonton macet2 trs. Kalian pasti bisa upgrade yg lbh baik lg. Tp klo gini trs jd mls nonton. Mntang2 yg gratisan trs macet2.",neg,,,neg
"Setiap mau ngaktifin paket pembayaran eror terus, dan uang saya udah ke tarik, tapi di keterangan paket sayang masih tidak aktif. Kalo ada bintang minus saya akan pilih bintang -349",neg,neg,,neg
"Saya sudah mengisi pembayaran lewat ovo untuk berlangganan platinum,tapi kode voucher sudah saya masukkan tetap salah. Sudah mengirim email ke pihak vidio tapi tetap tak ada tanggapan. Lebih baik uninstall",,neg,,neg
"Untuk Film,Series,Animenya udah lumayan lah tapi satu min yang kurang notifikasi untuk Anime/Series yang kita ikutin dapet notifikasi update eps terbaru nya",neg,,neg,
"Apa apain ini APLIKASI, paket mahal"", sudah saya beli yg paket nonton EPL yg 50rban dan udh di potong pulsa. tp paketny gak aktif. terpaksa mau buat laporan dlu lwt menu bantuan. asli kecewa. UDAH mending EPL ttp ke MOLA aja. napain di aplikasi sprti ini.",,neg,,neg
"Setting resolusinya kenapa ya? Kok muncul keterangan "" konten tidak dapat diputar pada resolusi yang dipilih di perangkat ini"" pliss banget vidio lg kenapa dah, biasany aman"" aja",neg,,,
Saya kasih 2 dulu karena lagi asik lihat filem kok muter padahal wifi nya gk ngelek kadang habis muter iklan tolong ya kalau ngasih iklan jangan langsung banyak kalau lagi nonton kadang layar putih/hitam,neg,,neg,neg
Saya sudah aktifkan pembelian voucher di e wallet tapi di aplikasi vidio tidak ter verifikasi dan paket saya belum dinyatakan aktif kenapa bisa begitu tolong dong jangan bikin pelanggan kecewa.,,neg,,neg
"Load videonya lama. Meskipun koneksi internet aman, tapi sering buffer. Tidak seperti YouTube yang tetap lancar meski koneksi low. Semoga bisa lebih lancar lagi videonya.",neg,,,
"Iklannya tolong dikondisikan! sudah berlangganan tapi masih ada iklan,ngga bisa diskip dan durasinya panjang",,,neg,
"Mantep banget sih, for the first time pake tuh enak banget, banyak film indo, anime dll, dan Holywood juga best banget sih, semoga kedepannya film Hollywood dan Indonesia bisa diperbanyak lagi...... Mantapp",,,pos,pos
Bintangnya akan full asal iklan nya dickurangin masa nonton film sesen1 sampe ahir.iklannya udh 5kali. Aneh aneh kurangin lah iklamnya ..iklan pertama doang sekali jangan pas d pertengahan lagi nonton bikin kesel iklan..,,,neg,neg
"Untuk developer di mohon untuk tindakannya, jikalau meng-upload series jangan setengah-setengah jikalau masih proses upload mohon di kasih keterangan dengan jelas. Trimakasih.",,,neg,
sebagai pengguna baru. terganggu banget dengan iklan bertubi2. demi apapun malah sangat mengurungkan niat untuk berlangganan premium.,,,neg,neg
Kadang kalo nonton siaran ulang lancar kadang juga ngeplay nya lama padahal jaringan bagus terus gak bisa milih reulosi kalo mau nonton😣 tolong dong ini harus gimana???,neg,,,
Kak saya ingin berlangganan dan pulsa saya cukup tapi ketika proses muncul tulisan (pembayaran tidak berhasil. Pulsa anda tidak cukup) saya mau minta solusi. 1 bulan yg lalu tidak kak.,,neg,,
"Kesel banget, setiap nonton timnas & liga 1, lag parahh ada kali 100 x mah, delay parah.. udah gunta ganti proveder tetep lag paraaahh, berarti ini emang kualitas vidionya yg ga baik, kecewa, pokoknya kudu cepet di benerin. Kalau rating mau baik..",neg,,,neg
"Berat, tidak seperti di youtube, video ada yg tdk bisa di download. Lemot sering macet, klo teeputus gk bisa otomatis nerusin.",neg,,,neg
"pake Premium tapi masih sering ngefreeze saat streaming. perbaiki dulu, audionya tetap jalan tapi videonya stop.",neg,,,neg
knp video yg di download gabisa diputer pas jaringan mati ya? kalo dulu gada jaringan kalo diputer tetep lancar karna udh di download????,neg,,,
"Kenapa saya tidak bisa nonton BRI liga 1 padahal masih ada peket paktinum belum habis, biasanya bisa nonton nya, ini gak bisa harus beli paket yang seharga 500 rb ke atas, payah",,neg,,neg
"Ini kenapa ya jd sering error? Setiap lg streaming slalu tibatiba ngefreeze gambarnya, ksl bgt. Tolonggg diperbaiki.",neg,,,neg
"Banyak iklannya, cuman skip aja langsung keluar iklannya apalagi pertamanya ada 2 iklan ga bisa di skip, tolong diperbaiki🙏",,,neg,neg
"Aplikasi ini mengajarkan kita sering nonton iklan, bukan film yang di nonton, tapi iklan nya banyak sekali.. Hahaha",,,neg,
"Sudah beli Paket Diamond EPL, tapi tidak bisa nonton, kata nya belum aktif, padahal pulsa sudah terpotong... Aplikasi bobrok.",,neg,,neg
Saran saya sih jangan terlalu banyak ngeluh ya kalau masih belum langganan kalau mau rasanya enak pakai video langganan kalau bisa langganan paket premier biar semuanya dapat cuma 50ribuan pokoknya ada yang rp70.000-an itu bebas lu mau nonton di laptop di tablet di HP bisa juga bebas ya kadang juga sih ngelag dikit tapi ya itulah bedanya yang gratis sama yang berbayar,pos,pos,,
"Sudah beli premier dan pembayaran sudah terpotong full, tapi apps videonya nggak bisa. Masih terdaftar belum premier. Heran",,neg,,neg
"Tolong donk jngn bolak balik iklan trus pake' WiFi jaringn lemot pakek data pun juga sama kadang lancar kadang ngk lancar! Aku kasih bintang 1 dulu klu dh oke dan udah nyaman nontonnya aku kasih bintang 5, klu gini gini trus aku share ke sosmed biar lain tau aplikasi ne jelek banget 🥰🥰",,,neg,neg
"Bagus, saya juga nyoba langganan premiere league, tapi mohon sistemnya diperbaiki lagi dong, masih sering ngebug kalo malem apalagi dinihari",neg,,,neg
aplikasinya sering menipu.. informasi setiap tayangan sepak bola timnas bisa di tonton di aplikasi video tp kenyataannya tidak ada siaran live sepakbola timnas..selalu di lacak...,,,neg,neg
"Saya sudah melakukan pembayaran dengan pembelian paket tapi tak kunjung aktif, padahal saldo shopeepay sudah terpotong, saya ngerasa kecewa...kalau d konfirmasi di tanggal yg berikutnya saya minta di hari konfirmasi bukan di hari pembelian 👎",,neg,,neg
Untuk anime tolong listnya di tambah seperti boruto dll mungkin jika serial anime di perbanyak user semakin banyak karena lebih mudah Menonton anime daripada harus ke situs di google yang banyak iklan,,,neg,
"Kembalikan uang saya, udah bayar beli paket tapi ga bisa nonton, dilangganan tidak terdaftar, proses tak kunjung ada... Kominfo tolong segera usut dan laporkan app ini",,neg,,neg
Aplikasi gk bermutu katanya live gratis mlah ini harus bayar paket platinum 😆 Terlalu banyak iklan durasinya panjang dan slalu ngelek juga aplikasi terlalu banyak gk bermutu mending uninstall dan jgn pakai aplikasi ini pokoknya hasilnya merugikan dan mengecewakan juga,neg,neg,neg,neg
Tolong dong lagi seru² nya nonton streaming / liat siaran ulang kok iklannya tiba² ngefrezze dan ngulang lagi dari awal padahal sinyal dan jaringan nya ok,neg,,,neg
Kasih 2 dlu kok makin hari makin banyak iklan nya kata nya kali premi nggak ada iklannya.. tapi kok ini banyak betul iklan nya .. percuma saja beli paket premium kalo gini,,,neg,neg
Udah bayar masa ga bisa nonton live liga champions tampilan alasan di negara saya tidak ada.. pas sctv film2 lain bisa eh bagian liga champions eror.. sia2 langganan sama vidio,neg,neg,neg,neg
Saya menggunakan stb tetapi saat akan nonton liga inggris selalu tidak bisa menampilkan vidio..padahal saya sudah bayar untuk bisa nonton di semua media...,neg,neg,,
Saya kecewa. Sudah bayar paket 1 tahun sukses pembayaran tapi tidak ada kejelasan di aplks vidio ini. Terus uang saya kemana larinya. Sangat kecewa saya. Uang 630rb hilang sia2.,,neg,,neg
Kenapa ya sekarang kalau beli paket gak bisa pake pulsa.. susah banget daftarnya..? Padahal dulu bisa mudah mudah saja.. sangat kecewa,,neg,,neg
"Saya sudah membeli dan mengaktifkan paket platinum,kenapa masih ada keterangan aktifkan paket platinum?? ,, keterangan menunggu pembayaran terus pdhl sudah sy bayar,!!!",,neg,,
harus diperbaiki karna masih ada bug nya dan kenapasih ada sepak bola gak bisa di tonton alesanya kesalahan jaringan padahal jaringan bagus dan sinyak oke terus paket diamond masih ada tolong diperbaiki,neg,neg,,neg
Assalamualaikum disini aku pengen bilang kalo aplikasi ini sangat bagus karna dia bisa nonton sambil liat wa tik tok dan aplikasi lain ya dan itu bagus dan yg paling penting dia geratis saya liat di komen komen yg lain banyak yg bilang harus dibeli lah dan segalamacam tapi asil tidak dia geratis segitu dulu komen saya assalamualaikum warahmatullahi wabarokatu 😁😁,pos,pos,,pos
"aplikasi yg sangat bagus, jadi buat kita yg berada di luar negri bisa melihat acara tv indonesia, terimskasi sangat luar biasa dan sangat membantu",,,,pos
Aplikasinya sedang gangguan ya tolong dong di perbaiki soal nya dari kemarin saya gak bisa nonton di aplikasi ini soal nya kata nya lagi ada gangguan mohon segera di perbaiki dong,neg,,,neg
"Saya sudah membeli paket premium 1 bulan, tapi kok gabisa nonton ya padahal udh bayar dan jaringan saya juga ga ada gangguan. Mohon bantuannya",,neg,,
Saya sudah beli paket platinum tapi gak aktif sama sekali dan pulsa saya sudah berkurang. Harusnya kan langsung aktif. Kenapa harus menunggu dan tidak ada kejelasan.,,neg,,
"saya kasih bintang 4 dulu emang kualitas bagus tapi kadang lagi enak nonton ada sedikit error dan iklannya terlalu banyak, semoga kedepannya makin👍",neg,,neg,pos
"Aplikasi bodoh,sudah aplikasinya lelet film-film yg sudah diunduh malah hilang kehapus sendiri.kecawa banget pake aplikasi ini sudah unduh film banyak malah hilang.",neg,,,neg
Kenapa sekarang di video ada iklan kan berbayar???kalo youtube tidak premium ada iklan y sah aja ini video berbayar ada iklan lucu ga sih?,,,neg,
"video ok keren,,tapi knp skrng video di hp saya tdk bisa merubah resolusi gambar,,,padahal kmrin kmrin bisa ,,minta solusinya ya....",neg,,,pos
