review_token,aspects
"[1, 101, 1473, 6, 257, 16, 37, 92, 5, 464, 138, 7, 6, 244, 17, 16, 5, 35, 60, 2, 8, 87, 70, 690, 169, 19, 45, 6, 216, 224, 241, 65, 341, 170, 5, 331, 19, 41, 24, 173, 7, 1, 334, 16, 157, 53, 21, 19, 170, 127, 236, 1, 5, 917, 5, 301, 21]","[1, 1, 0, 1]"
"[353, 11, 258, 225, 6, 393, 80, 7, 161, 16, 138, 6, 102, 9, 18, 1, 1031, 59, 267, 43, 7, 653, 91, 2, 13]","[0, 1, 0, 0]"
"[6, 11, 16, 205, 140, 23, 4, 2426, 1767, 654, 433, 146, 11, 21, 192, 17, 51, 39, 11, 12, 295, 205, 148, 43, 11, 25, 333, 183, 16, 2, 394, 71, 83, 19, 1, 141]","[0, 1, 0, 0]"
"[74, 48, 353, 11, 1, 10, 21, 305, 593, 669, 533, 39, 544, 71, 747, 65, 345, 200, 2427, 378, 691, 125, 2428, 323, 39, 2429, 523, 870, 670, 970]","[0, 1, 0, 1]"
"[2, 667, 107, 23, 10, 15, 198, 119, 45, 651, 1, 3, 263, 152, 35, 157, 82, 5, 15, 8, 1, 3, 5, 270, 594, 73, 163, 163, 217, 30, 109, 14]","[1, 0, 1, 1]"
"[2430, 378, 24, 7, 6, 374, 568, 265, 1186, 129, 9, 1, 10, 331, 7, 6, 199, 11, 5, 2, 138, 102, 704, 101, 321, 31, 9, 18, 1, 176]","[0, 1, 0, 0]"
"[22, 86, 15, 63, 107, 101, 23, 4, 39, 151, 15, 62, 269, 6, 4, 49, 10, 21, 15, 101, 87, 63, 2, 13]","[0, 0, 1, 1]"
"[81, 36, 6, 298, 35, 12, 172, 170, 108, 465, 12, 69, 2431, 28, 27, 19, 116, 173, 99, 43, 191, 8, 1768, 21, 153, 1, 163, 28, 9, 2, 24, 13, 14, 86, 172]","[1, 0, 1, 1]"
"[220, 8, 52, 7, 205, 7, 23, 31, 18, 88, 12, 205, 104, 871, 38, 805, 205, 368, 92, 1, 3, 242, 7, 31, 21, 52, 805, 52, 7, 38, 205, 7, 161, 31, 21, 242, 8, 3, 9, 12, 38, 168, 18, 88, 6, 219, 31, 19, 52, 7, 6, 102, 296, 31, 219, 47, 6, 101, 9, 29, 5, 2, 35, 8, 7, 61, 16, 7, 33, 74]","[0, 1, 0, 1]"
"[106, 2, 9, 40, 93, 24, 1, 100, 12, 68, 47, 1, 186, 26, 5, 164, 416, 71, 100, 19, 71, 260, 21, 93, 6, 14, 9, 10, 507, 12, 365, 32, 44, 27]","[0, 1, 1, 1]"
"[32, 126, 35, 36, 12, 154, 72, 84, 1187, 413, 201, 135, 11, 201, 5, 1188, 394, 10, 100, 19, 126, 1187, 413, 51, 1, 1303, 2432, 126, 154, 177, 541, 134, 154, 20, 269, 51, 104, 58, 81, 36]","[1, 0, 0, 0]"
"[365, 23, 36, 58, 142, 16, 140, 9, 142, 31, 18, 16, 508, 37, 1, 412, 59, 5, 2, 13, 33, 180, 19, 74]","[0, 1, 0, 1]"
"[51, 293, 74, 56, 2, 13, 60, 51, 317, 31, 16, 57, 9, 51, 34, 1, 3, 38, 27, 293, 1769, 20, 48, 227, 8, 27, 173, 86, 21, 1, 10, 358, 41, 1189, 378, 1032]","[0, 1, 0, 1]"
"[2, 141, 353, 16, 83, 18, 141, 317, 16, 621, 42, 223, 33, 230, 231, 534, 23, 5, 34, 41, 4, 5, 42, 2433, 185, 534, 142, 545, 66, 267, 324, 144, 7, 23, 64, 55, 1190, 827, 13, 2]","[0, 1, 0, 1]"
"[32, 72, 44, 21, 291, 61, 5, 532, 14, 2, 142, 5, 532, 37, 118, 17, 178, 46, 213, 169, 30, 6, 67, 34, 2, 13]","[1, 0, 0, 1]"
"[74, 91, 2, 13, 30, 1, 317, 59, 221, 18, 356, 9, 148, 7, 199, 251, 52, 119, 356, 52, 7, 464, 91, 169, 150, 150, 74]","[0, 1, 0, 1]"
"[11, 16, 18, 142, 199, 305, 418, 19, 138, 6, 102, 9, 375, 231, 5, 2, 49, 61, 288, 19, 1, 3, 337, 297, 65, 18, 12, 5, 176]","[0, 1, 0, 0]"
"[32, 44, 21, 21, 306, 4, 208, 28, 258, 198, 3, 532, 12, 71, 44, 21, 9, 26, 196, 28, 38, 244, 4, 1474, 12, 100, 28, 208]","[1, 0, 0, 1]"
"[107, 23, 59, 18, 11, 45, 28, 19, 227, 7, 6, 65, 359, 9, 5, 351, 18, 162, 49, 1, 59, 26, 10, 58, 971, 7, 334, 204, 58]","[1, 1, 0, 1]"
"[7, 6, 251, 11, 151, 418, 41, 16, 96, 9, 307, 222, 6, 7, 101, 92, 345, 6, 373, 296, 65, 378, 24, 9, 92, 1, 10, 540, 71, 44, 197]","[0, 1, 0, 1]"
"[41, 25, 333, 706, 6, 266, 98, 9, 200, 132, 12, 78, 410, 41, 292, 333, 12, 137, 508, 166, 410, 115, 147, 69, 8]","[1, 0, 1, 0]"
"[55, 55, 13, 2, 18, 192, 6, 7, 31, 12, 18, 4, 267, 12, 205, 19, 6, 5, 102, 52, 9, 18, 1, 59, 451, 23, 43, 374, 62, 151, 445, 129, 580, 74, 6, 183, 267, 92, 65, 621, 20, 2434, 5, 2, 177, 13]","[0, 1, 0, 1]"
"[1097, 482, 29, 27, 40, 186, 351, 287, 1, 166, 152, 214, 482, 12, 204, 5, 535, 13, 32, 17, 24, 21, 29, 76, 245, 505, 20]","[1, 0, 0, 0]"
"[7, 36, 62, 60, 21, 306, 64, 25, 40, 163, 30, 191, 8, 1, 45, 178, 144, 163, 15, 32, 27, 26, 240, 15, 84, 119, 22, 26, 21, 4, 178, 357, 638, 474]","[1, 0, 1, 1]"
"[7, 6, 59, 31, 222, 5, 671, 1770, 9, 5, 2, 24, 1, 800, 426, 19, 18, 7, 61, 234, 59, 29, 3, 148, 32, 72, 84, 110, 16, 74]","[0, 1, 0, 1]"
"[672, 35, 67, 425, 274, 248, 505, 9, 70, 167, 1, 177, 202, 12, 92, 97, 425, 274, 1304, 170, 3, 71, 97, 21, 35]","[1, 0, 0, 0]"
"[15, 32, 872, 6, 16, 9, 49, 10, 15, 1, 3, 270, 19, 330, 221]","[0, 0, 1, 0]"
"[106, 17, 48, 1105, 309, 2435, 2436, 34, 431, 211, 17, 22, 25, 130, 292, 19, 68, 68, 19, 1771, 47, 44, 17, 48, 170, 65, 348, 25, 828, 19, 130, 3, 22, 21, 106]","[0, 0, 1, 1]"
"[58, 334, 254, 918, 15, 8, 655, 145, 4, 25, 2437, 113, 2438, 15, 6, 80, 250, 250, 78, 98, 15, 15, 441, 217, 86, 84, 82, 10, 318, 21, 4, 110, 225, 15]","[0, 0, 1, 1]"
"[41, 379, 5, 116, 41, 864, 1772, 1305, 707, 333, 84, 318, 318, 1772, 49, 215, 707, 116, 5, 36, 351, 91, 83, 81, 36]","[0, 0, 1, 0]"
"[463, 77, 69, 111, 17, 91, 15, 2439, 635, 55, 188, 37, 33, 2440, 358, 41, 16, 57]","[0, 0, 1, 1]"
"[178, 26, 4, 66, 149, 97, 178, 47, 1773, 8, 67, 30, 99, 14, 28, 1, 3, 204, 2441, 26, 23, 4, 32, 72, 13, 39, 85]","[1, 0, 0, 0]"
"[154, 7, 165, 16, 19, 52, 7, 134, 9, 276, 215, 186, 272, 11, 1, 219, 52, 281, 1, 134, 7, 23, 216, 372, 140, 12, 265, 1, 154]","[0, 1, 0, 0]"
"[225, 17, 107, 4, 127, 75, 238, 124, 10, 80, 80, 338, 466, 124, 6, 2442, 316, 2443, 92, 238, 124, 915, 13, 195, 126, 35, 12, 1, 44, 74, 158, 39, 212, 5, 150, 26, 513, 23, 44]","[1, 0, 0, 1]"
"[427, 1, 177, 5, 202, 35, 10, 12, 1, 3, 5, 53, 118, 70, 208, 26, 312, 1, 3, 356, 28]","[1, 0, 0, 1]"
"[34, 57, 9, 49, 70, 919, 121, 79, 44, 62, 972, 92, 289, 9, 35, 826]","[1, 0, 0, 1]"
"[29, 35, 12, 5, 53, 1, 3, 152, 82, 99, 558, 27, 26, 62, 1, 10, 99, 26, 152, 92, 97, 60, 6, 5, 53]","[1, 0, 0, 0]"
"[29, 7, 1, 3, 4, 396, 75, 30, 49, 10, 18, 96, 61, 144, 245, 3, 4, 8, 13, 1, 3, 39, 31, 18, 12, 295, 205, 65, 446, 187]","[0, 1, 0, 1]"
"[13, 29, 27, 38, 70, 45, 107, 21, 79, 112, 131, 919, 189, 1033, 17, 32, 44]","[1, 0, 0, 1]"
"[22, 15, 73, 270, 20, 119, 213, 15, 280, 441, 10, 15, 1, 3, 5, 270, 32, 44]","[0, 0, 1, 1]"
"[2, 13, 873, 137, 70, 4, 15, 228, 25, 12, 5, 4, 9, 15, 8, 22, 86, 1034]","[0, 0, 1, 0]"
"[6, 31, 18, 268, 267, 9, 1, 3, 4, 206, 8, 61, 59, 30, 52, 6, 102, 2, 1191]","[0, 1, 0, 1]"
"[294, 7, 48, 84, 125, 22, 1035, 27, 26, 49, 61, 16, 26, 23, 400, 211, 34, 35, 16, 26, 3, 16, 18, 88, 153, 93, 166, 73, 205, 158, 10, 12, 692, 368, 94, 534, 370, 23, 4, 5, 1036, 5, 1306, 5, 185, 3, 47, 534, 27, 178, 47, 48, 45, 259, 9, 27, 94, 390, 12, 100, 56, 12, 11]","[1, 1, 0, 0]"
"[6, 31, 88, 19, 11, 6, 102, 254, 9, 2, 35, 1, 3, 49, 176, 61, 88, 689]","[0, 1, 0, 1]"
"[32, 72, 84, 1475, 608, 15, 28, 34, 191, 99, 118, 34, 252, 188, 47, 56, 178, 97, 178, 1, 97, 51, 36, 58, 62, 26, 76, 160, 19, 6, 230, 382, 51, 36, 58, 26, 196, 196, 28, 51, 1192, 65, 1193, 751, 153, 68, 243, 2, 13, 87, 17]","[0, 0, 1, 1]"
"[14, 7, 47, 161, 16, 708, 389, 9, 116, 353, 44, 21, 72, 49, 70, 502, 26, 452, 280, 1194, 128]","[1, 0, 0, 1]"
"[2, 70, 277, 770, 107, 108, 253, 50, 127, 3, 5, 4, 5, 2, 35, 9, 234, 1, 10, 66, 54, 253, 50, 127, 112, 5, 1037]","[0, 0, 1, 1]"
"[7, 6, 199, 11, 91, 31, 18, 9, 1, 1031, 59, 30, 138, 402, 414, 6, 102, 7, 400, 74, 26, 10, 462, 5, 362, 12, 508, 7, 216, 5, 128, 462, 228, 5, 128, 31]","[0, 1, 0, 1]"
"[41, 292, 32, 1774, 5, 104, 177, 1038, 19, 68, 68, 434, 323, 509, 292, 5, 22, 869, 122, 22, 60, 71, 226, 4, 292, 703, 39, 65, 1188, 5, 341, 12, 22, 15]","[0, 0, 1, 0]"
"[224, 227, 7, 6, 11, 31, 18, 9, 1, 3, 4, 16, 1, 176, 215, 1, 1031, 10, 1775, 32, 383, 2444, 19, 374, 2, 13]","[0, 1, 0, 1]"
"[2, 1, 559, 206, 54, 100, 37, 13, 39, 11, 18, 96, 125, 22, 15, 330, 221, 19, 112, 45, 47, 2, 125, 22, 1, 559, 183, 197, 19, 84, 34, 2, 13, 158, 219, 180, 19, 74, 47]","[1, 1, 1, 1]"
"[32, 72, 21, 133, 8, 4, 79, 64, 66, 149, 40, 15, 131, 919, 19, 149, 21, 89, 220, 30, 109, 19, 99, 8, 160]","[1, 0, 0, 1]"
"[36, 62, 40, 122, 128, 122, 22, 15, 8, 206, 8, 80, 1776, 1, 10, 15, 9, 40, 13, 22, 693, 15, 8, 256, 20, 31, 18, 57, 26, 196]","[0, 0, 1, 1]"
"[6, 11, 145, 1, 3, 4, 54, 75, 346, 405, 432, 5, 300, 7, 1, 10, 82, 403, 25, 68, 3, 181, 322, 75, 346, 45, 443, 16, 56, 24]","[1, 1, 1, 1]"
"[7, 77, 1777, 9, 121, 334, 4, 75, 203, 112, 1, 3, 405, 24, 30, 7, 6, 11, 41, 3, 4, 5, 93, 751]","[1, 1, 0, 0]"
"[7, 74, 6, 11, 18, 223, 321, 11, 9, 1, 10, 83, 5, 2, 24, 13, 28, 227, 7, 65, 139, 973, 33, 74, 7, 227, 205, 175, 443]","[0, 1, 0, 1]"
"[29, 27, 63, 26, 31, 18, 1, 3, 34, 52, 114, 17, 176, 30, 62, 3, 226, 226, 20, 33, 74]","[0, 1, 0, 1]"
"[7, 6, 31, 19, 59, 18, 96, 29, 49, 10, 351, 59, 18, 96, 351, 207, 11, 28, 30, 6, 7, 11]","[0, 1, 0, 0]"
"[39, 44, 60, 49, 10, 285, 8, 19, 29, 48, 10, 253, 50, 1, 3, 5, 4, 432, 345, 99, 30, 99, 14, 19, 1778, 160, 28, 18, 268, 49, 10, 32, 44]","[1, 1, 0, 1]"
