review_token,Satisfaction
"[49, 46, 45, 41, 31, 18, 268, 37, 113, 65, 31, 80, 38, 180, 60, 6, 31, 1, 119, 3, 5, 34, 74, 48, 579, 24, 6, 446, 168, 177, 13, 234, 61, 170, 65, 348, 3, 71, 44, 31, 18, 268, 19, 68, 68, 119, 59, 1, 822, 822, 81, 36]",0
"[225, 17, 4, 69, 279, 182, 20, 6, 167, 28, 107, 279, 315, 86, 19, 1463, 966, 966, 225, 17, 7, 382, 26, 103, 196, 28, 134, 86, 76, 1, 23, 16, 21, 667, 17, 190, 225, 635]",0
"[132, 362, 7, 31, 18, 16, 223, 205, 181, 10, 102, 21, 5, 335, 388, 205, 41, 16, 140, 103, 356, 28, 7, 605, 5, 16, 7, 12, 16, 223, 218, 636, 12, 140, 52, 7, 102, 80, 205, 19, 205, 85, 13, 132, 3, 129, 746, 7, 1761, 58, 26, 227, 16, 7, 44, 26, 1, 801, 334, 197, 2, 13, 81, 36]",0
"[6, 16, 9, 49, 22, 15, 43, 55, 16, 26, 49, 10, 15, 28, 4, 25, 73, 1464, 20, 1, 254, 399, 183, 65, 394, 1465, 15]",0
"[156, 689, 56, 24, 13, 142, 5, 115, 228, 37, 1466, 13, 37, 569, 61, 5, 115, 164, 147, 1467, 89, 2410, 113, 142, 5, 115, 37, 483, 483, 37, 12, 228, 89, 206, 164, 47, 34, 1762, 21, 352, 580, 95, 171, 115, 13, 2]",0
"[22, 108, 57, 12, 1, 108, 7, 31, 57, 473, 19, 108, 1, 10, 37, 316, 531, 148, 4, 1182, 6, 182, 1099, 1178, 69, 186, 108, 352]",0
"[84, 43, 7, 122, 74, 7, 6, 140, 1763, 28, 75, 203, 9, 1, 3, 5, 34, 56, 86, 19, 71, 174, 11, 140, 65, 393, 5, 335, 1, 10, 410, 747, 61, 8, 138, 131, 78, 41, 1763, 2, 233, 13, 32, 84, 43, 7, 122, 74, 21]",0
"[400, 277, 7, 7, 6, 199, 11, 41, 16, 18, 57, 12, 96, 473, 11, 219, 10, 503, 2411, 89, 1183, 2, 241, 19, 296, 11, 219, 89, 341, 40, 7, 1, 3, 337, 652, 57, 557, 37, 5, 2, 7, 61, 16, 55, 188, 7, 161, 440, 16, 21, 9, 375, 7, 6, 16, 13, 6, 80, 492, 196, 85, 159, 24]",0
"[802, 7, 23, 36, 294, 20, 27, 2, 35, 13, 33, 98, 14, 9, 10, 326, 20, 168, 121, 152, 35, 8, 29, 131, 131, 20, 1, 3, 5, 2412, 224, 19, 257, 121, 4, 25, 27, 94, 2413, 19, 32, 5, 44, 21, 27]",1
"[1030, 14, 9, 66, 49, 78, 123, 19, 47, 125, 1765, 57, 30, 47, 6, 10, 15, 55, 227, 15, 1, 134, 4, 253, 50, 314, 494, 20, 146, 11, 26, 194, 103, 1, 1184, 967, 22, 262, 9, 26, 194, 12, 1, 278, 262, 4, 42, 73, 5, 185, 23, 4, 253, 50, 9, 37, 146, 11, 521]",1
"[6, 16, 89, 96, 268, 49, 20, 5, 868, 4, 54, 1101, 37, 12, 16, 495, 1099, 74, 6, 5, 123, 93, 252, 12, 5, 543, 2, 1, 14]",0
"[6, 16, 18, 96, 9, 82, 23, 4, 267, 39, 532, 65, 18, 268, 27, 1102, 98, 9, 82, 140, 65, 393, 37, 393, 8, 495, 102, 16, 12, 96, 11, 12, 268, 11, 30, 18, 268, 6, 2418, 93, 120, 12, 10, 5, 18, 96, 94, 188, 637, 532, 239, 65, 18, 268, 13, 37, 393, 8, 495, 11, 124]",0
"[6, 134, 14, 32, 104, 21, 25, 69, 153, 122, 133, 25, 89, 463, 300, 333, 89, 463, 300, 12, 133, 153, 122, 423, 19, 22, 204, 41, 4]",1
"[107, 4, 213, 169, 6, 148, 23, 101, 21, 1, 3, 823, 705, 823, 705, 28, 272, 11, 55, 607, 56, 20, 180, 72, 280, 11, 9, 1, 913, 17, 26, 21, 4, 54, 188, 363, 45, 28, 368, 1, 243, 26, 120, 401, 201, 1, 317, 4, 12, 401, 382, 120, 447, 20, 70, 17, 363, 968, 189, 1, 17, 24, 63, 365, 23, 16, 28, 38, 244, 162, 117, 201, 6, 105, 4, 607, 225, 411]",0
"[14, 48, 2, 13, 3, 79, 267, 56, 4, 279, 25, 229, 343, 44, 121, 4, 37, 2, 2419, 747, 12, 240, 725, 1766, 30, 5, 247, 49, 61, 1766, 769, 32, 424, 239, 417, 1, 634]",1
"[24, 1, 17, 63, 2, 8, 87, 17, 16, 57, 140, 73, 154, 581, 52, 10, 154, 9, 5, 582, 28, 91, 432, 138, 1, 134, 113, 251, 52, 80, 92, 1, 3, 244, 17, 38, 369, 262, 9, 1, 10, 219]",0
"[2, 55, 13, 5, 220, 90, 20, 97, 82, 23, 90, 65, 80, 8, 181, 37, 1, 65, 484, 65, 2, 8, 30, 5, 344, 99, 191, 8, 14, 2, 8, 32, 5, 44, 81, 36, 132, 51, 36, 58, 20, 27]",0
"[14, 405, 14, 103, 541, 522, 83, 1472, 226, 668, 9, 1, 570, 306, 26, 53, 1, 125, 825, 803, 22, 162, 1, 3, 5, 1103]",1
"[29, 142, 115, 69, 37, 276, 4, 35, 8, 1, 3, 5, 496, 65, 482, 12, 137, 23, 29, 37, 3, 5, 412, 20, 38, 2423, 87, 126, 35, 8, 8, 32, 72, 29, 512, 148, 7, 101, 16, 2, 13, 290, 84, 110, 74, 72, 1029, 6, 139, 9, 29, 122, 65, 136, 2, 8, 87]",0
"[2, 1, 83, 70, 2424, 22, 15, 583, 117, 26, 2425, 198, 149, 89, 220, 28, 180, 17, 969]",0
"[33, 74, 6, 146, 11, 4, 75, 203, 163, 28, 121, 247, 30, 109, 14, 32, 5, 44, 62, 353, 153, 1, 163, 28, 19, 1, 38, 168, 121, 5, 318, 247]",0
"[7, 463, 750, 12, 112, 16, 24, 395, 74, 60, 15, 6, 101, 65, 314, 2, 30, 366, 16, 11, 228, 100, 12, 128, 128, 8, 77, 4, 24, 5, 42, 107, 23, 4, 1464, 50, 112, 15, 6, 56, 20, 56, 2, 100, 26, 23, 164, 571, 84, 111, 230, 750, 32, 5, 540, 19, 1104, 323, 1, 7, 294, 65, 77, 68, 41, 826, 16, 19, 821, 58, 87, 5, 1302, 506]",0
"[1, 101, 1473, 6, 257, 16, 37, 92, 5, 464, 138, 7, 6, 244, 17, 16, 5, 35, 60, 2, 8, 87, 70, 690, 169, 19, 45, 6, 216, 224, 241, 65, 341, 170, 5, 331, 19, 41, 24, 173, 7, 1, 334, 16, 157, 53, 21, 19, 170, 127, 236, 1, 5, 917, 5, 301, 21]",0
"[74, 48, 353, 11, 1, 10, 21, 305, 593, 669, 533, 39, 544, 71, 747, 65, 345, 200, 2427, 378, 691, 125, 2428, 323, 39, 2429, 523, 870, 670, 970]",0
"[2, 667, 107, 23, 10, 15, 198, 119, 45, 651, 1, 3, 263, 152, 35, 157, 82, 5, 15, 8, 1, 3, 5, 270, 594, 73, 163, 163, 217, 30, 109, 14]",0
"[22, 86, 15, 63, 107, 101, 23, 4, 39, 151, 15, 62, 269, 6, 4, 49, 10, 21, 15, 101, 87, 63, 2, 13]",0
"[81, 36, 6, 298, 35, 12, 172, 170, 108, 465, 12, 69, 2431, 28, 27, 19, 116, 173, 99, 43, 191, 8, 1768, 21, 153, 1, 163, 28, 9, 2, 24, 13, 14, 86, 172]",1
"[220, 8, 52, 7, 205, 7, 23, 31, 18, 88, 12, 205, 104, 871, 38, 805, 205, 368, 92, 1, 3, 242, 7, 31, 21, 52, 805, 52, 7, 38, 205, 7, 161, 31, 21, 242, 8, 3, 9, 12, 38, 168, 18, 88, 6, 219, 31, 19, 52, 7, 6, 102, 296, 31, 219, 47, 6, 101, 9, 29, 5, 2, 35, 8, 7, 61, 16, 7, 33, 74]",0
"[106, 2, 9, 40, 93, 24, 1, 100, 12, 68, 47, 1, 186, 26, 5, 164, 416, 71, 100, 19, 71, 260, 21, 93, 6, 14, 9, 10, 507, 12, 365, 32, 44, 27]",1
"[365, 23, 36, 58, 142, 16, 140, 9, 142, 31, 18, 16, 508, 37, 1, 412, 59, 5, 2, 13, 33, 180, 19, 74]",0
"[51, 293, 74, 56, 2, 13, 60, 51, 317, 31, 16, 57, 9, 51, 34, 1, 3, 38, 27, 293, 1769, 20, 48, 227, 8, 27, 173, 86, 21, 1, 10, 358, 41, 1189, 378, 1032]",0
"[2, 141, 353, 16, 83, 18, 141, 317, 16, 621, 42, 223, 33, 230, 231, 534, 23, 5, 34, 41, 4, 5, 42, 2433, 185, 534, 142, 545, 66, 267, 324, 144, 7, 23, 64, 55, 1190, 827, 13, 2]",0
"[32, 72, 44, 21, 291, 61, 5, 532, 14, 2, 142, 5, 532, 37, 118, 17, 178, 46, 213, 169, 30, 6, 67, 34, 2, 13]",0
"[74, 91, 2, 13, 30, 1, 317, 59, 221, 18, 356, 9, 148, 7, 199, 251, 52, 119, 356, 52, 7, 464, 91, 169, 150, 150, 74]",0
"[32, 44, 21, 21, 306, 4, 208, 28, 258, 198, 3, 532, 12, 71, 44, 21, 9, 26, 196, 28, 38, 244, 4, 1474, 12, 100, 28, 208]",0
"[107, 23, 59, 18, 11, 45, 28, 19, 227, 7, 6, 65, 359, 9, 5, 351, 18, 162, 49, 1, 59, 26, 10, 58, 971, 7, 334, 204, 58]",0
"[7, 6, 251, 11, 151, 418, 41, 16, 96, 9, 307, 222, 6, 7, 101, 92, 345, 6, 373, 296, 65, 378, 24, 9, 92, 1, 10, 540, 71, 44, 197]",0
"[55, 55, 13, 2, 18, 192, 6, 7, 31, 12, 18, 4, 267, 12, 205, 19, 6, 5, 102, 52, 9, 18, 1, 59, 451, 23, 43, 374, 62, 151, 445, 129, 580, 74, 6, 183, 267, 92, 65, 621, 20, 2434, 5, 2, 177, 13]",0
"[7, 36, 62, 60, 21, 306, 64, 25, 40, 163, 30, 191, 8, 1, 45, 178, 144, 163, 15, 32, 27, 26, 240, 15, 84, 119, 22, 26, 21, 4, 178, 357, 638, 474]",0
"[7, 6, 59, 31, 222, 5, 671, 1770, 9, 5, 2, 24, 1, 800, 426, 19, 18, 7, 61, 234, 59, 29, 3, 148, 32, 72, 84, 110, 16, 74]",0
"[106, 17, 48, 1105, 309, 2435, 2436, 34, 431, 211, 17, 22, 25, 130, 292, 19, 68, 68, 19, 1771, 47, 44, 17, 48, 170, 65, 348, 25, 828, 19, 130, 3, 22, 21, 106]",1
"[58, 334, 254, 918, 15, 8, 655, 145, 4, 25, 2437, 113, 2438, 15, 6, 80, 250, 250, 78, 98, 15, 15, 441, 217, 86, 84, 82, 10, 318, 21, 4, 110, 225, 15]",0
"[463, 77, 69, 111, 17, 91, 15, 2439, 635, 55, 188, 37, 33, 2440, 358, 41, 16, 57]",0
"[225, 17, 107, 4, 127, 75, 238, 124, 10, 80, 80, 338, 466, 124, 6, 2442, 316, 2443, 92, 238, 124, 915, 13, 195, 126, 35, 12, 1, 44, 74, 158, 39, 212, 5, 150, 26, 513, 23, 44]",0
"[427, 1, 177, 5, 202, 35, 10, 12, 1, 3, 5, 53, 118, 70, 208, 26, 312, 1, 3, 356, 28]",0
"[34, 57, 9, 49, 70, 919, 121, 79, 44, 62, 972, 92, 289, 9, 35, 826]",0
"[29, 7, 1, 3, 4, 396, 75, 30, 49, 10, 18, 96, 61, 144, 245, 3, 4, 8, 13, 1, 3, 39, 31, 18, 12, 295, 205, 65, 446, 187]",0
"[13, 29, 27, 38, 70, 45, 107, 21, 79, 112, 131, 919, 189, 1033, 17, 32, 44]",0
"[22, 15, 73, 270, 20, 119, 213, 15, 280, 441, 10, 15, 1, 3, 5, 270, 32, 44]",0
"[6, 31, 18, 268, 267, 9, 1, 3, 4, 206, 8, 61, 59, 30, 52, 6, 102, 2, 1191]",0
"[6, 31, 88, 19, 11, 6, 102, 254, 9, 2, 35, 1, 3, 49, 176, 61, 88, 689]",0
"[32, 72, 84, 1475, 608, 15, 28, 34, 191, 99, 118, 34, 252, 188, 47, 56, 178, 97, 178, 1, 97, 51, 36, 58, 62, 26, 76, 160, 19, 6, 230, 382, 51, 36, 58, 26, 196, 196, 28, 51, 1192, 65, 1193, 751, 153, 68, 243, 2, 13, 87, 17]",0
"[14, 7, 47, 161, 16, 708, 389, 9, 116, 353, 44, 21, 72, 49, 70, 502, 26, 452, 280, 1194, 128]",0
"[2, 70, 277, 770, 107, 108, 253, 50, 127, 3, 5, 4, 5, 2, 35, 9, 234, 1, 10, 66, 54, 253, 50, 127, 112, 5, 1037]",0
"[7, 6, 199, 11, 91, 31, 18, 9, 1, 1031, 59, 30, 138, 402, 414, 6, 102, 7, 400, 74, 26, 10, 462, 5, 362, 12, 508, 7, 216, 5, 128, 462, 228, 5, 128, 31]",0
"[224, 227, 7, 6, 11, 31, 18, 9, 1, 3, 4, 16, 1, 176, 215, 1, 1031, 10, 1775, 32, 383, 2444, 19, 374, 2, 13]",0
"[2, 1, 559, 206, 54, 100, 37, 13, 39, 11, 18, 96, 125, 22, 15, 330, 221, 19, 112, 45, 47, 2, 125, 22, 1, 559, 183, 197, 19, 84, 34, 2, 13, 158, 219, 180, 19, 74, 47]",0
"[32, 72, 21, 133, 8, 4, 79, 64, 66, 149, 40, 15, 131, 919, 19, 149, 21, 89, 220, 30, 109, 19, 99, 8, 160]",0
"[36, 62, 40, 122, 128, 122, 22, 15, 8, 206, 8, 80, 1776, 1, 10, 15, 9, 40, 13, 22, 693, 15, 8, 256, 20, 31, 18, 57, 26, 196]",0
"[6, 11, 145, 1, 3, 4, 54, 75, 346, 405, 432, 5, 300, 7, 1, 10, 82, 403, 25, 68, 3, 181, 322, 75, 346, 45, 443, 16, 56, 24]",0
"[7, 74, 6, 11, 18, 223, 321, 11, 9, 1, 10, 83, 5, 2, 24, 13, 28, 227, 7, 65, 139, 973, 33, 74, 7, 227, 205, 175, 443]",0
"[29, 27, 63, 26, 31, 18, 1, 3, 34, 52, 114, 17, 176, 30, 62, 3, 226, 226, 20, 33, 74]",0
"[39, 44, 60, 49, 10, 285, 8, 19, 29, 48, 10, 253, 50, 1, 3, 5, 4, 432, 345, 99, 30, 99, 14, 19, 1778, 160, 28, 18, 268, 49, 10, 32, 44]",0
"[802, 5, 136, 51, 165, 275, 26, 2, 13, 33, 14, 60, 752, 3, 4, 709, 64, 974, 1779, 1039, 19, 2, 68, 27, 19, 94, 14, 19, 12, 308, 524, 752, 100, 7, 64, 5, 428, 428, 12, 68, 22, 12, 275, 39, 31, 98, 19, 453, 694, 9, 2445, 1, 752, 100, 771, 62, 428, 7, 802, 2446, 2447]",1
"[2, 12, 33, 14, 38, 43, 137, 12, 10, 5, 283, 494, 3, 64, 209, 42, 130, 81, 36, 33, 283, 245, 19, 33, 129]",1
"[2, 264, 111, 27, 32, 72, 5, 44, 201, 8, 89, 291, 7, 1, 3, 4, 5, 2, 13, 201, 8, 206, 8, 21, 10, 111, 116, 383, 5, 44, 72]",0
"[7, 36, 58, 62, 195, 126, 14, 9, 178, 21, 211, 4, 10, 326, 45, 19, 15, 125, 22, 170, 65, 348, 122]",1
"[2, 584, 6, 2, 118, 25, 25, 12, 6, 475, 37, 175, 218, 169, 2448, 17, 34, 2, 13, 6, 475, 25, 22, 37, 175]",0
"[35, 160, 172, 9, 29, 63, 35, 5, 185, 7, 1, 3, 2450, 482, 189, 30, 291, 291, 3, 216, 372, 27]",1
"[74, 17, 6, 5, 319, 149, 80, 9, 92, 482, 1195, 3, 5, 496, 1780, 189, 1307, 32, 72, 32, 85, 159, 7, 38, 1195, 155, 4, 8, 60, 189, 1307]",0
"[172, 17, 467, 302, 10, 88, 8, 9, 95, 1308, 295, 101, 377, 19, 95, 1040, 56, 147, 1196, 673, 242, 673, 242, 12, 56, 24, 36, 100, 874, 98, 95, 58]",1
"[21, 211, 4, 50, 131, 257, 82, 101, 21, 1, 3, 4, 21, 55, 39, 16, 349, 225, 84, 5, 53, 2, 1, 83]",0
"[80, 89, 54, 12, 5, 4, 198, 111, 105, 124, 181, 173, 12, 150, 89, 191, 2451, 188, 1, 2452, 38, 2453, 71, 44, 621, 89, 35]",0
"[118, 17, 4, 2, 79, 12, 68, 97, 17, 126, 154, 187, 17, 6, 11, 16, 37, 196, 109]",0
"[2, 8, 6, 14, 19, 129, 17, 9, 78, 8, 1, 3, 4, 25, 12, 254, 399, 116, 5, 115, 21, 27, 585, 379]",1
"[26, 109, 5, 344, 258, 245, 20, 3, 4, 202, 1779, 1039, 84, 161, 319, 2, 13, 829, 171]",0
"[2, 174, 221, 145, 18, 49, 2454, 191, 10, 9, 1, 3, 354, 1, 3, 337, 18, 12, 6, 10, 31, 74]",0
"[2, 13, 6, 1, 477, 21, 41, 4, 54, 79, 20, 131, 224, 169, 276, 5, 90, 21, 54, 8, 6, 1, 3]",0
"[32, 76, 15, 8, 22, 7, 178, 4, 38, 46, 225, 169, 60, 15, 112, 186, 28, 178, 21, 1309, 12, 133, 131, 15, 7, 1, 1310, 17, 26, 4, 15, 112, 10, 5, 107, 1781, 35, 32, 15, 5, 78, 27, 1782, 16, 1, 93, 194, 278, 227, 41, 16, 23, 875, 377, 55, 188, 38, 32, 26, 41, 15, 183, 1, 255, 77, 16, 157, 11, 94, 294, 7, 323, 10, 345, 206, 116, 173]",0
"[150, 13, 2, 14, 17, 41, 4, 25, 19, 147, 12, 193, 93, 123, 148, 9, 107, 4, 35, 157, 25, 112, 20, 45, 280, 15, 6, 148, 22, 339, 16, 57, 47, 1, 198, 145, 12, 4, 189, 474, 217, 1, 10, 271, 7, 416, 91, 10, 2, 13, 3, 226, 4, 234, 37, 104, 273, 74, 427, 76, 7]",0
"[23, 4, 91, 514, 19, 1197, 313, 18, 57, 9, 15, 1783, 1783, 330, 315, 313, 3, 5, 270, 94, 656, 86, 82, 15, 441, 3, 5, 270, 181, 1, 243, 15, 21, 315, 313, 920, 270, 11, 15, 198, 388, 17, 60, 107, 4, 279, 182, 198, 119, 15, 24, 21, 228, 15, 120, 42]",0
"[975, 1198, 198, 23, 100, 313, 16, 323, 20, 2, 13, 1, 10, 15, 198, 334, 33, 77, 19, 198, 38, 2, 308, 558, 139, 15, 22, 80, 1, 3, 5, 270, 19, 80, 12, 3, 5, 270, 30, 314, 66, 401, 6, 10, 15, 139, 15, 19, 35, 61, 21, 82, 306, 4, 131, 131, 10, 15, 12, 1, 3, 5, 270, 639, 2455, 2456, 183, 34, 42, 1784, 1311, 474, 638, 2457, 1476, 89, 1477, 2458]",0
"[78, 86, 41, 79, 91, 109, 12, 56, 5, 2, 79, 68, 97, 20, 121, 15, 70, 919, 149, 89, 220, 21, 1471, 49, 78, 230, 23, 16, 38, 448, 21]",0
"[124, 7, 31, 73, 41, 4, 473, 9, 189, 384, 384, 126, 772, 65, 20, 49, 384, 26, 408, 1, 830, 1, 255, 570, 570, 371, 22, 66, 695]",0
"[29, 2, 24, 63, 103, 196, 108, 149, 22, 12, 5, 102, 19, 22, 25, 12, 1, 3, 5, 152, 60, 168, 545, 1041, 32, 5, 44, 72]",0
"[6, 31, 18, 268, 223, 49, 10, 15, 66, 384, 384, 1, 10, 44, 1, 10, 1478, 55, 55, 43, 16]",0
"[124, 150, 24, 138, 6, 102, 9, 18, 16, 8, 61, 3, 5, 4, 32, 129, 72, 328, 7, 23, 4, 50, 269]",0
"[467, 15, 200, 15, 200, 182, 330, 1, 3, 5, 270, 21, 19, 22, 17, 15, 1785, 17, 1, 2459, 230, 77, 4]",0
"[6, 11, 41, 200, 140, 69, 391, 6, 1, 3, 4, 267, 19, 216, 41, 11, 21, 525, 196, 210, 16, 8, 81, 36, 93, 503, 142, 1479, 374, 568, 750]",0
"[2, 12, 1786, 14, 9, 32, 41, 10, 44, 107, 78, 177, 15, 12, 70, 186, 94, 1786, 111, 77]",1
"[29, 7, 1, 3, 263, 16, 88, 26, 2460, 10, 83, 23, 7, 197, 2, 8, 145, 411, 39, 4, 15, 28]",0
"[31, 18, 57, 351, 8, 360, 235, 52, 1, 134, 9, 138, 52, 71, 295, 57, 2, 1, 640]",0
"[7, 416, 2, 24, 3, 454, 71, 44, 21, 1, 186, 21, 2461, 38, 111, 159, 485, 109, 174]",0
"[126, 174, 107, 4, 198, 131, 175, 66, 28, 1, 3, 4, 21, 33, 74, 71, 44, 4, 42]",0
"[173, 7, 691, 62, 60, 77, 252, 388, 17, 295, 53, 5, 78, 2462, 84, 696, 94, 338, 388, 26, 6, 5, 78, 976, 696, 7, 36, 58, 546, 91, 428, 12, 71, 44, 21]",0
"[82, 204, 482, 189, 112, 186, 482, 1, 166, 5, 77, 214, 535, 13, 44, 98, 132]",0
"[30, 99, 97, 9, 26, 43, 4, 70, 167, 32, 913, 21]",0
"[6, 31, 18, 88, 389, 9, 49, 1, 3, 4, 429, 2, 73, 23, 392, 1787, 296, 188, 1, 10, 331]",0
"[2, 560, 7, 6, 11, 41, 43, 18, 347, 3, 4, 120, 447, 37, 1, 3, 595, 138, 7, 112, 464]",0
"[33, 155, 91, 24, 166, 337, 753, 247, 2463, 203, 19, 385, 486, 104, 232, 68, 106]",1
"[1, 83, 70, 17, 45, 82, 21, 4, 79, 267, 1, 133, 26, 45, 28, 183, 608, 65, 621, 20, 103, 62]",0
"[7, 36, 58, 497, 9, 260, 21, 152, 35, 8, 201, 99, 97, 9, 35, 8, 70, 257, 10, 271, 9, 5, 189, 8, 217, 12, 257]",1
"[13, 14, 9, 153, 71, 14, 21, 24, 8, 1, 10, 12, 11, 38, 3, 1481, 64, 8, 26, 63, 13, 1, 3, 1481, 64, 35, 60, 10, 12, 11, 23, 64, 292, 820, 831, 9, 11, 150, 8, 48, 10, 12, 435, 425, 11, 9, 229, 279, 147, 170, 20, 5, 115, 1, 11, 21, 153, 12, 53, 71, 22, 21, 19, 122, 5, 1788, 22, 194, 51, 48, 229, 216, 773, 170, 5, 115, 1, 11, 32, 5, 115, 1, 11, 27, 60, 51, 165, 64, 697, 831]",1
"[11, 96, 6, 102, 9, 1, 3, 4, 57, 876, 47, 1, 10, 360, 877, 1043, 174]",0
"[1, 559, 86, 56, 152, 12, 235, 28, 28, 1, 93, 24, 39, 31, 12, 100, 26, 152, 160, 92, 98, 160, 23, 16, 47, 1, 878, 1044, 1312, 27, 84, 390, 84, 15, 28, 12, 5, 2465]",0
"[95, 6, 31, 18, 268, 9, 29, 37, 1, 3, 64, 127, 304, 13, 485, 85, 48, 1, 83, 23, 55, 161, 110, 74, 20, 243, 148, 1, 255, 31, 443, 95, 31, 18, 268, 2, 13, 56, 20, 1106, 262, 194]",0
"[172, 17, 3, 4, 155, 73, 41, 247, 50, 283, 494, 39, 11, 103, 38, 1, 3, 297]",1
"[49, 70, 634, 54, 79, 30, 99, 191, 21, 527, 32, 383, 44]",0
"[122, 921, 104, 1, 83, 70, 4, 131, 105, 19, 10, 725, 45, 157, 99, 1, 484, 30, 34, 191, 99, 1482, 14, 26, 240, 4, 507, 12, 1107]",0
"[2, 257, 169, 1, 289, 21, 206, 79, 303, 75, 203, 256, 98, 10, 2466, 10, 42, 26, 61, 978, 173, 26, 428, 8, 125]",0
"[2, 22, 496, 1, 93, 185, 3, 79, 183, 621, 97, 264, 55, 24, 13, 16, 225, 76]",0
"[124, 13, 6, 1790, 222, 113, 462, 59, 181, 105, 609, 3, 1, 59, 21, 162, 38, 196, 6, 71, 89, 80, 6, 547, 641, 1, 10, 331, 122, 225]",0
"[33, 129, 229, 20, 107, 80, 4, 340, 131, 357, 213, 169, 112, 148, 19, 94, 29, 27]",1
"[7, 36, 58, 62, 6, 14, 9, 82, 64, 922, 26, 212, 46, 208, 35, 38, 78, 97, 71, 14]",1
"[2468, 268, 59, 9, 287, 70, 1, 3, 152, 19, 178, 186, 15, 58, 62, 269, 26, 76, 1791, 69, 58]",0
"[2, 13, 134, 14, 40, 73, 5, 54, 8, 832, 45, 260, 126, 8, 27]",1
"[5, 484, 65, 42, 22, 15, 12, 1, 83, 71, 89, 202, 27, 1, 3, 5, 2470, 21, 15, 8, 124]",0
"[74, 86, 33, 174, 39, 44, 124, 17, 2, 26, 10, 204, 58, 419, 971, 58, 87]",0
"[55, 48, 13, 6, 31, 18, 96, 23, 4, 50, 37, 1, 59, 547, 865, 37, 146, 1793, 296, 27, 597, 979]",0
"[29, 107, 80, 7, 23, 31, 57, 138, 112, 78, 169, 7, 74, 180, 32, 5, 44]",0
"[32, 13, 85, 138, 6, 102, 9, 1, 3, 297, 37, 5, 1484, 61, 16, 9, 161, 4, 5, 108, 275, 6, 16, 13, 85]",0
